id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
3406750,UCJEPS,VASC,,PreservedSpecimen,3c3922fa-0df6-428c-b0dd-a4433a990e74,UC455261,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,I. J. Condit,,,6/14/10,,1910,6,14,165,,Jun 14 1910,,,,,,,,,,,,,Vegetative (non-reproductive),,,,,,,,,,,,United States,California,Fresno,,Sanger,,0,,36.70806,-119.555,,,,,,,,,,,,,,,,,,2/11/22 8:55,3c3922fa-0df6-428c-b0dd-a4433a990e74,46,783152ca-2a3a-4f38-91a7-631404a54d65,https://www.cch2.org/portal/collections/individual/index.php?occid=3406750
3445381,UCJEPS,VASC,,PreservedSpecimen,7c1ec824-85ec-43ae-99dd-b842d7680d6b,UC848108,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Alice Eastwood,,,5/13/13,,1913,5,13,133,,May 13 1913,,,,,,,,,,,,,Flowering,,,,,,,,,,,,United States,California,Kern,,Tehachapi,,0,,35.1394,-118.452,WGS84,5400,,,,,,,,,,,,,,,,2/11/22 8:28,7c1ec824-85ec-43ae-99dd-b842d7680d6b,46,dff23097-d756-404c-912e-e8d9669df9c5,https://www.cch2.org/portal/collections/individual/index.php?occid=3445381
3400173,UCJEPS,VASC,,PreservedSpecimen,ecc9b26a-0758-4c1c-9985-4ba1cfb085ca,JEPS37361,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Miss R. Kuhn,,,10/1/13,,1913,10,1,274,304,13-Oct,date given as Oct 1913,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Sonoma,,Sonoma,,0,,38.29194,-122.45694,,,,,,,,,,,,,,,,,preprocessed,5/29/12 16:23,ecc9b26a-0758-4c1c-9985-4ba1cfb085ca,46,6d747360-ba8d-4b22-aac2-a1b6a2ceeae9,https://www.cch2.org/portal/collections/individual/index.php?occid=3400173
3213675,UCJEPS,VASC,,PreservedSpecimen,1866522f-a3c6-4eb1-a56a-16582438e773,UC848109,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,A. A. Heller,,11791,4/1/15,,1915,4,1,91,,Apr 1 1915,ethnobotany,"low flat land, found only in rich deep soil in valleys, and never found above 225 ft in this region",,ethnobotany,,,,,,herbariumSpecimenDuplicate: https://www.cch2.org/portal/collections/individual/index.php?guid=66a8293f-d538-4106-b042-6fd6deb2f9f8 | herbariumSpecimenDuplicate: https://www.cch2.org/portal/collections/individual/index.php?guid=urn:catalog:CAS:BOT-BC:61585 | herbariumSpecimenDuplicate: https://www.cch2.org/portal/collections/individual/index.php?guid=urn:catalog:CAS:BOT-BC:61584 | herbariumSpecimenDuplicate: http://n2t.net/ark:/65665/3da06791d-e360-4d22-9495-c629cf6e2d2a | herbariumSpecimenDuplicate: https://www.cch2.org/portal/collections/individual/index.php?guid=49d14125-cf38-4ca3-a17f-905e3e21bdce,,,Flowering,,,,,,,,,,,,United States,California,Butte,,near Durham; Sacramento Valley,,0,,39.64639,-121.79889,,,,,,,,,68,,,,,225 ft,,,,2/11/22 8:23,1866522f-a3c6-4eb1-a56a-16582438e773,46,f0648c89-a84d-4e7e-86d9-cc64a5d62490,https://www.cch2.org/portal/collections/individual/index.php?occid=3213675
3265840,UCJEPS,VASC,,PreservedSpecimen,d57b07c7-77ea-401b-a5cb-720d474564d1,JEPS37352,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Willis L. Jepson,,6852,10/22/16,,1916,10,22,296,,Oct 22 1916,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Contra Costa,,Las Trampas Ridge,,0,,37.81222,-122.02361,,,,,,,,,,,,,,,,,preprocessed,11/26/19 17:03,d57b07c7-77ea-401b-a5cb-720d474564d1,46,d33873e9-6160-401e-85ec-0f7bdbed4207,https://www.cch2.org/portal/collections/individual/index.php?occid=3265840
1314768,DAV,,,PreservedSpecimen,fca948a0-21a7-4d66-aa3e-25fea59dbd85,DAV309012,Accession #: DAV36873,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,John M. TuckerJan 1966,,,,,,,Olive Thacher,,s.n.,4/17/18,,1918,4,17,107,,17-Apr-18,Access Database Number (Deprecated): UCD46833,,,,,,,,,,,,,,,,,,,,,,,,United States,California,Ventura,,Ojai.,,0,,34.448181,-119.2411,,,34° 26m 53.45s N; 119° 14m 27.96s W,,,,,,,,,,,,,,,4/12/23 0:18,UCD46833,39,fca948a0-21a7-4d66-aa3e-25fea59dbd85,https://www.cch2.org/portal/collections/individual/index.php?occid=1314768
3503872,UCJEPS,VASC,,PreservedSpecimen,ff8233e8-fe2c-4bdc-8bad-7c99cef6af26,UC219168,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,"P. A. Munz, R. D. Harwood",,3999,5/17/20,,1920,5,17,138,,May 17 1920,"C. F. Baker Herbarium of Pomona College, Plants of Southern California",dry valley,,,,,,,,herbariumSpecimenDuplicate: https://www.cch2.org/portal/collections/individual/index.php?guid=7658b0b4-2d46-4b98-93fb-4742034094a1 | herbariumSpecimenDuplicate: https://www.cch2.org/portal/collections/individual/index.php?guid=urn:catalog:CAS:BOT-BC:61545,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,Los Angeles,,San Fernando Valley,,0,,34.211743,-118.442122,WGS84,18000,,Rancho Santa Ana (no. 6),,Google Earth,,georef from old CCH cumulative file; (copied from NY468364),76,,,,,250 ft,,,preprocessed,5/31/12 17:12,ff8233e8-fe2c-4bdc-8bad-7c99cef6af26,46,1c5d487d-d64e-4527-8633-a03945fe50dd,https://www.cch2.org/portal/collections/individual/index.php?occid=3503872
2068377,CHSC,VascularPlants,,PreservedSpecimen,72b09aa3-fba4-4ec3-9832-d95f3d88c7b2,CHSC000626,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,R. Swank,,,4/6/21,,1921,4,6,96,,4/6/21,Vesta Holt label.,,,,,,,,,,,,,,,,,,,,,,,,United States,California,Tehama,,Corning.,,0,,39.926389,-122.181667,NAD83,1609,39§ 55m 35s N; 122§ 10m 54s W,Bill Carlson,,,,,82,,,,,270ft.,,,,4/12/23 0:18,,44,72b09aa3-fba4-4ec3-9832-d95f3d88c7b2,https://www.cch2.org/portal/collections/individual/index.php?occid=2068377
3193066,UCJEPS,VASC,,PreservedSpecimen,812e368a-0334-4c11-874b-1d6003573292,JEPS38059,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,H. A. Dutton,,,8/21/21,,1921,8,21,233,,Aug 21 1921,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Butte,,Chico,,0,,39.72861,-121.83639,,,,,,,,,,,,,,,,,preprocessed,5/29/12 19:25,812e368a-0334-4c11-874b-1d6003573292,46,c8867e48-708e-4127-9401-5a5fad9763d7,https://www.cch2.org/portal/collections/individual/index.php?occid=3193066
3221168,UCJEPS,VASC,,PreservedSpecimen,1ecf7ff2-03e1-48b9-99fc-68abe3b6cf6a,UC1196522,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Joseph P. Tracy,,6129,10/15/22,,1922,10,15,288,,Oct 15 1922,,in valley lands,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Lake,,Lakeport Northern Coast Ranges,,0,,39.04306,-122.91472,,,,,,,,,426,,,,,1400 ft,,,,2/10/22 14:36,1ecf7ff2-03e1-48b9-99fc-68abe3b6cf6a,46,fccc65cf-026b-4e90-9ffe-d1ceb2994110,https://www.cch2.org/portal/collections/individual/index.php?occid=3221168
3513930,UCJEPS,VASC,,PreservedSpecimen,b916d00f-b1fd-434d-8800-a400e75d3072,UC1196525,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Joseph P. Tracy,,6128,10/15/22,,1922,10,15,288,,Oct 15 1922,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,Mendocino,,Ukiah Valley Northern Coast Ranges,,0,,39.149017,-123.2061,NAD27,11479,,,,,,,182,,,,,600 ft,,,,2/11/22 8:43,b916d00f-b1fd-434d-8800-a400e75d3072,46,0bbd934b-e629-40d1-aaef-7e3038fb356b,https://www.cch2.org/portal/collections/individual/index.php?occid=3513930
202087,OBI,,,PreservedSpecimen,16ad7d1a-ce35-43cf-89ba-e6aab154e4d8,OBI112586,14229,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,H.E. McMinn,,113,11/21/22,,1922,11,21,325,,21-Nov-22,,,,Shrubby forms from old stumps which had been cut back,,,,,,herbariumSpecimenDuplicate: https://www.cch2.org/portal/collections/individual/index.php?guid=urn:catalog:CAS:BOT-BC:61625,,,,,,,,,,,,,,,United States,California,Alameda,,Near Sunol,,0,,37.5887,-121.8871,WGS84,5500,,Andrew Thornhill,Baldwin et al. 2017. https://doi.org/10.3732/ajb.1600326,GEOLocate; Google Maps,,,,,,,,,,,preprocessed,10/29/11 0:00,,12,1fac9535-86bf-46b1-ac08-29341f76c8bd,https://www.cch2.org/portal/collections/individual/index.php?occid=202087
3315880,UCJEPS,VASC,,PreservedSpecimen,a6d64076-1e5e-4eb6-8f8e-4da7ed10f1fd,JEPS37841,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Willis L. Jepson,,10278,10/22/23,,1923,10,22,295,,Oct 22 1923,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,San Joaquin,,Union Island Lower San Joaquin,,0,,37.846333,-121.45587,NAD27,7257,,,,Terrain Navigator 5.03 USGS 1:24000,,,,,,,,,,,preprocessed,11/26/19 15:33,a6d64076-1e5e-4eb6-8f8e-4da7ed10f1fd,46,d0a75d4a-0aea-4b4c-a33f-915e4f67bedd,https://www.cch2.org/portal/collections/individual/index.php?occid=3315880
3366676,UCJEPS,VASC,,PreservedSpecimen,dfff2af0-86f4-4840-9daf-901eb5b73129,UC1083146,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Fagaceae|Quercus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus lobata,29310,Née,Quercus,,lobata,,,Species,,,,,,,,Herbert L. Mason,,1109,10/8/24,,1924,10,8,282,,Oct 8 1924,,"along sand hill road, in open parklike formation",,,,,,,,,,,Fruiting,,,,,,,,,,,,United States,California,San Mateo,,between Stanford University and Jasper Ridge,,0,,37.408463,-122.22493,NAD27,2266,,,,,,,,,,,,,,,,2/10/22 14:21,dfff2af0-86f4-4840-9daf-901eb5b73129,46,3248001a-49b8-43a4-b8e4-ef4d5151cff1,https://www.cch2.org/portal/collections/individual/index.php?occid=3366676
